Haltestellenname,route,name_sanitized
"Passau, Abzw Freudenhain",6113,"Passau, Abzw Freudenhain"
"Ries, Rennweg",6113,"Ries, Rennweg"
"Ries, Wasserturm",6113,"Ries, Wasserturm"
Pramöd,6113,Pramöd
Jägerreuth,6113,Jägerreuth
Moos bei Passau,6113,Moos bei Passau
Patriching,6113,Patriching
Bäckerreuth,6113,Bäckerreuth
Jacking,6113,Jacking
"Schwaiberg, Waldstr.",6113,"Schwaiberg, Waldstr."
"Tiefenbach, Kieswerk",6113,"Tiefenbach, Kieswerk"
"Tiefenbach, R.-Töpfl-Str.",6113,"Tiefenbach, R.-Töpfl-Str."
"Tiefenbach, Bayerwaldstr.",6113,"Tiefenbach, Bayerwaldstr."
Gotting bei Tiefenbach,6113,Gotting bei Tiefenbach
Gramming,6113,Gramming
"Haselbach, Freibad",6113,"Haselbach, Freibad"
"Haselbach, Lohwaldsiedlung",6113,"Haselbach, Lohwaldsiedlung"
"Haselbach, Dorfplatz",6113,"Haselbach, Dorfplatz"
"Ruderting, Haselbacher Str.",6113,"Ruderting, Haselbacher Str."
"Ruderting, Kirche",6113,"Ruderting, Kirche"
During,6113,During
Sittenberg,6113,Sittenberg
Trasham,6113,Trasham
Möging,6113,Möging
Witzling bei Neukirchen v. W.,6113,Witzling bei Neukirchen v. W.
"Neukirchen v.W., Rathaus",6113,"Neukirchen v.W., Rathaus"
Weiding bei Neukirchen v.W.,6113,Weiding bei Neukirchen v.W.
"Wildenberg b.Tittl., B85,Abzw",6113,"Wildenberg bei Tittl., B85,Abzw"
Wildenberg bei Tittling,6113,Wildenberg bei Tittling
Preming,6113,Preming
"Tittling, Passauer Str. 53",6113,"Tittling, Passauer Str. 53"
"Tittling, Marktplatz",6113,"Tittling, Marktplatz"
"Passau, Hbf",6120,"Passau, Hbf"
"Passau, Am Schanzl(Busbucht)",6120,"Passau, Am Schanzl(Busbucht)"
"Passau, Eggendobl",6120,"Passau, Eggendobl"
"Passau, Sturmbergweg",6120,"Passau, Sturmbergweg"
"Passau, Abzw Freudenhain",6120,"Passau, Abzw Freudenhain"
"Ries, Rennweg",6120,"Ries, Rennweg"
"Ries, Wasserturm",6120,"Ries, Wasserturm"
Pramöd,6120,Pramöd
Jägerreuth,6120,Jägerreuth
Moos bei Passau,6120,Moos bei Passau
Patriching,6120,Patriching
Bäckerreuth,6120,Bäckerreuth
Jacking,6120,Jacking
"Schwaiberg, Waldstr.",6120,"Schwaiberg, Waldstr."
"Tiefenbach, Kieswerk",6120,"Tiefenbach, Kieswerk"
"Tiefenbach, R.-Töpfl-Str.",6120,"Tiefenbach, R.-Töpfl-Str."
"Tiefenbach, Marienplatz",6120,"Tiefenbach, Marienplatz"
"Tiefenbach, Weideneck",6120,"Tiefenbach, Weideneck"
"Götzing, Abzw",6120,"Götzing, Abzw"
Hörmannsberg,6120,Hörmannsberg
Prexlmühle bei Kirchberg,6120,Prexlmühle bei Kirchberg
Ötzing,6120,Ötzing
Petermühl bei Kirchberg,6120,Petermühl bei Kirchberg
Thalham bei Kirchberg,6120,Thalham bei Kirchberg
"Kirchberg, Wiederleiten",6120,"Kirchberg, Wiederleiten"
"Oberndorf bei Kirchberg, Abzw",6120,"Oberndorf bei Kirchberg, Abzw"
"Kirchberg, Raiffeisenbank",6120,"Kirchberg, Raiffeisenbank"
"Kirchberg, Ebersbergerstr.",6120,"Kirchberg, Ebersbergerstr."
"Kirchberg, Raiffeisenbank",6120,"Kirchberg, Raiffeisenbank"
"Kirchberg, Ebersbergerstr.",6120,"Kirchberg, Ebersbergerstr."
Boderding,6120,Boderding
Rötzing,6120,Rötzing
Niederham bei Aicha v. W.,6120,Niederham bei Aicha v. W.
Hatzing,6120,Hatzing
Hidring,6120,Hidring
Maierhof bei Passau,6120,Maierhof bei Passau
"Gaißa, Brücke",6120,"Gaißa, Brücke"
Schalding l. d. Donau,6120,Schalding l. d. Donau
Irring,6120,Irring
Gaishofen,6120,Gaishofen
Klinghof,6120,Klinghof
"Otterskirchen, Abzw",6120,"Otterskirchen, Abzw"
Otterskirchen,6120,Otterskirchen
"Otterskirchen, Abzw",6120,"Otterskirchen, Abzw"
Hitzing,6120,Hitzing
"Neuhofen, Abzw.",6120,"Neuhofen, Abzw."
Stetting,6120,Stetting
"Stetting, Kreuzung",6120,"Stetting, Kreuzung"
Desching,6120,Desching
Deichselberg,6120,Deichselberg
"Seestetten, Anw Huber",6120,"Seestetten, Anw Huber"
Besensandbach,6120,Besensandbach
Fisching,6120,Fisching
Gerading II,6120,Gerading II
"Gerading, Wh",6120,"Gerading, Wh"
"Windorf, Marktplatz",6120,"Windorf, Marktplatz"
"Windorf, Abzw Tittling",6120,"Windorf, Abzw Tittling"
Hacklsdorf,6120,Hacklsdorf
Schmalhof,6120,Schmalhof
"Vilshofen, Berufsschule",6120,"Vilshofen, Berufsschule"
"Vilshofen, Stadtplatz",6120,"Vilshofen, Stadtplatz"
"Vilshofen, Gymnasium",6120,"Vilshofen, Gymnasium"
"Vilshofen, Bahnhof",6120,"Vilshofen, Bahnhof"
Schmalhof,6120,Schmalhof
"Albersdorf, Abzw. Hirnschnell",6120,"Albersdorf, Abzw. Hirnschnell"
Albersdorf,6120,Albersdorf
"Dobl, Abzw",6120,"Dobl, Abzw"
"Pirka, Abzw Zaundorf",6120,"Pirka, Abzw Zaundorf"
"Pirka, Auto Berger",6120,"Pirka, Auto Berger"
"Neustift bei Garham, Abzw",6120,"Neustift bei Garham, Abzw"
Reitern,6120,Reitern
Solla,6120,Solla
Garham bei Vilshofen,6120,Garham bei Vilshofen
"Bichlberg, Abzw",6120,"Bichlberg, Abzw"
Rannetsreit,6120,Rannetsreit
"Mühlreit, Abzw",6120,"Mühlreit, Abzw"
Hofstetten bei Eging,6120,Hofstetten bei Eging
"Otting, Abzw",6120,"Otting, Abzw"
Neuloipfering,6120,Neuloipfering
Hacklsdorf,6120,Hacklsdorf
"Windorf, Abzw Tittling",6120,"Windorf, Abzw Tittling"
"Windorf, Post",6120,"Windorf, Post"
"Windorf, Wilhelmshof",6120,"Windorf, Wilhelmshof"
Doblmühle,6120,Doblmühle
"Bertholling, Abzw",6120,"Bertholling, Abzw"
"Bartlmühle, Abzw Babing",6120,"Bartlmühle, Abzw Babing"
"Rathsmannsdorf, Schloß",6120,"Rathsmannsdorf, Schloß"
"Bartlmühle, Abzw Babing",6120,"Bartlmühle, Abzw Babing"
"Bertholling, Abzw",6120,"Bertholling, Abzw"
Doblmühle,6120,Doblmühle
"Windorf, Wilhelmshof",6120,"Windorf, Wilhelmshof"
"Windorf, Post",6120,"Windorf, Post"
Schmalhof,6120,Schmalhof
Renholding b.Aicha(Autobahn),6120,Renholding bei Aicha(Autobahn)
"Silling, Abzw",6120,"Silling, Abzw"
"Aicha v.W., Vilshofener Str.",6120,"Aicha v.W., Vilshofener Str."
"Aicha v.W., Marktplatz",6120,"Aicha v.W., Marktplatz"
"Fürstenstein, Rathaus",6120,"Fürstenstein, Rathaus"
"Aicha v.W., Marktplatz",6120,"Aicha v.W., Marktplatz"
"Aicha v.W., Gemeinde",6120,"Aicha v.W., Gemeinde"
"Aicha v.W., Schloßbreite",6120,"Aicha v.W., Schloßbreite"
"Aicha v.W., Abzw Haselbach",6120,"Aicha v.W., Abzw Haselbach"
"Renholding, Gh zur Mauth",6120,"Renholding, Gh zur Mauth"
Renholding bei Nammering,6120,Renholding bei Nammering
"Nammering, Bf",6120,"Nammering, Bf"
"Nammering, Gh. Feichtinger",6120,"Nammering, Gh. Feichtinger"
Paradies,6120,Paradies
Klingermühle,6120,Klingermühle
"Fickenhof, Abzw",6120,"Fickenhof, Abzw"
"Wollmering, Abzw",6120,"Wollmering, Abzw"
Ruberting/Pullman City,6120,Ruberting/Pullman City
"Neuloipfering, Endl",6120,"Neuloipfering, Endl"
"Loipfering, Abzw",6120,"Loipfering, Abzw"
"Eging, Gh. z. Linde",6120,"Eging, Gh. z. Linde"
"Fürstenstein, XXXLutz",6120,"Fürstenstein, XXXLutz"
"Eging, Marktplatz",6120,"Eging, Marktplatz"
Garham bei Vilshofen,6120,Garham bei Vilshofen
Albersdorf,6120,Albersdorf
"Eging, Postamt",6120,"Eging, Postamt"
"Eging, Abzw Kurhaus",6120,"Eging, Abzw Kurhaus"
Harmering,6120,Harmering
Reutherfurth-Oed,6120,Reutherfurth-Oed
Reutherfurth,6120,Reutherfurth
Peigerting,6120,Peigerting
Hörmannsdorf bei Thannberg,6120,Hörmannsdorf bei Thannberg
Thannberg,6120,Thannberg
Peigerting,6120,Peigerting
Reutherfurth,6120,Reutherfurth
Reutherfurth-Oed,6120,Reutherfurth-Oed
Harmering,6120,Harmering
"Eging, Abzw Kurhaus",6120,"Eging, Abzw Kurhaus"
"Fürstenstein, XXXLutz",6120,"Fürstenstein, XXXLutz"
"Fürstenstein, Raiffeisenbank",6120,"Fürstenstein, Raiffeisenbank"
"Fürstenstein, Gh. Kerber",6120,"Fürstenstein, Gh. Kerber"
"Fürstenstein, Abzw Schloß",6120,"Fürstenstein, Abzw Schloß"
"Englburg, Abzw",6120,"Englburg, Abzw"
Taubenweid,6120,Taubenweid
Eisensteg,6120,Eisensteg
"Tittling, Hötzendorf",6120,"Tittling, Hötzendorf"
"Tittling, Altersheim",6120,"Tittling, Altersheim"
"Tittling, Marktplatz",6120,"Tittling, Marktplatz"
"Passau, Hbf",6121,"Passau, Hbf"
"Passau, Am Schanzl(Busbucht)",6121,"Passau, Am Schanzl(Busbucht)"
"Passau, Eggendobl",6121,"Passau, Eggendobl"
"Passau, Sturmbergweg",6121,"Passau, Sturmbergweg"
"Passau, Bockhofweg",6121,"Passau, Bockhofweg"
"Passau, Abzw Freudenhain",6121,"Passau, Abzw Freudenhain"
"Ries, Rennweg",6121,"Ries, Rennweg"
"Ries, Wasserturm",6121,"Ries, Wasserturm"
Pramöd,6121,Pramöd
Jägerreuth,6121,Jägerreuth
Moos bei Passau,6121,Moos bei Passau
Patriching,6121,Patriching
Bäckerreuth,6121,Bäckerreuth
Jacking,6121,Jacking
"Schwaiberg, Gh Bauer",6121,"Schwaiberg, Gh Bauer"
Hof bei Tiefenbach,6121,Hof bei Tiefenbach
"Schwaiberg, Waldstr.",6121,"Schwaiberg, Waldstr."
"Tiefenbach, Kieswerk",6121,"Tiefenbach, Kieswerk"
"Tiefenbach, R.-Töpfl-Str.",6121,"Tiefenbach, R.-Töpfl-Str."
"Tiefenbach, Bayerwaldstr.",6121,"Tiefenbach, Bayerwaldstr."
Gotting bei Tiefenbach,6121,Gotting bei Tiefenbach
Lohhof bei Ruderting,6121,Lohhof bei Ruderting
"Ruderting, Lohwald-Siedlung",6121,"Ruderting, Lohwald-Siedlung"
"Ruderting, Buchbauer",6121,"Ruderting, Buchbauer"
"Ruderting, Kirche",6121,"Ruderting, Kirche"
During,6121,During
Sittenberg,6121,Sittenberg
Trasham,6121,Trasham
Möging,6121,Möging
Witzling bei Neukirchen v. W.,6121,Witzling bei Neukirchen v. W.
"Neukirchen v.W., Rathaus",6121,"Neukirchen v.W., Rathaus"
Weiding bei Neukirchen v.W.,6121,Weiding bei Neukirchen v.W.
"Wildenberg b.Tittl., B85,Abzw",6121,"Wildenberg bei Tittl., B85,Abzw"
"Tittling, Altersheim",6121,"Tittling, Altersheim"
"Tittling, Marktplatz",6121,"Tittling, Marktplatz"
Wildenberg bei Tittling,6121,Wildenberg bei Tittling
Preming,6121,Preming
"Tittling, Passauer Str. 53",6121,"Tittling, Passauer Str. 53"
"Tittling, Marktplatz",6121,"Tittling, Marktplatz"
Hörmannsdorf bei Tittling,6121,Hörmannsdorf bei Tittling
Trautmannsdorf,6121,Trautmannsdorf
"Preying, Abzw",6121,"Preying, Abzw"
Spitzingerreuth,6121,Spitzingerreuth
"Saldenburg, Abzw",6121,"Saldenburg, Abzw"
Gumpenreit,6121,Gumpenreit
Eberhardsreuth,6121,Eberhardsreuth
Mitternach,6121,Mitternach
Siglkurve,6121,Siglkurve
"Schönberg, Unterer Markt",6121,"Schönberg, Unterer Markt"
"Schönberg, Marktplatz",6121,"Schönberg, Marktplatz"
"Schönberg, Unterer Markt",6121,"Schönberg, Unterer Markt"
Siglkurve,6121,Siglkurve
Grubmühle,6121,Grubmühle
Köpplhof,6121,Köpplhof
Elsenthal,6121,Elsenthal
"Dimpflmühle, Abzw Bärnstein",6121,"Dimpflmühle, Abzw Bärnstein"
"Grafenau, Busbahnhof/Bahnhof",6121,"Grafenau, Busbahnhof/Bahnhof"
"Grafenau, Finanzamt",6121,"Grafenau, Finanzamt"
"Grafenau, Abzw Feriendorf",6121,"Grafenau, Abzw Feriendorf"
"Einberg, Abzw",6121,"Einberg, Abzw"
Grüberschlag,6121,Grüberschlag
"Großarmschlag, Wh",6121,"Großarmschlag, Wh"
Pronfelden,6121,Pronfelden
"Spiegelau, Glashütte",6121,"Spiegelau, Glashütte"
"Spiegelau, P+R",6121,"Spiegelau, P+R"
"Spiegelau, List",6121,"Spiegelau, List"
"Beiwald, Cafe",6121,"Beiwald, Cafe"
Eppenschlag,6121,Eppenschlag
"Röhrnachmühle, Abzw Grünbach",6121,"Röhrnachmühle, Abzw Grünbach"
Kirchdorf i. Wald,6121,Kirchdorf i. Wald
Grünbichl,6121,Grünbichl
Schlag,6121,Schlag
"Schlag, Siedlung",6121,"Schlag, Siedlung"
Grub bei Rinchnach,6121,Grub bei Rinchnach
"Ried bei Rinchnach, Abzw",6121,"Ried bei Rinchnach, Abzw"
"Rinchnach, Probstberg",6121,"Rinchnach, Probstberg"
"Rinchnach, Rosenau",6121,"Rinchnach, Rosenau"
"Rinchnach, Busbahnhof",6121,"Rinchnach, Busbahnhof"
"Kasberg, Abzw",6121,"Kasberg, Abzw"
"Hönigsgrub, Abzw",6121,"Hönigsgrub, Abzw"
"Poschetsried, Abzw",6121,"Poschetsried, Abzw"
"Regen, Ruselstraße",6121,"Regen, Ruselstraße"
"Passau, Hbf",6124,"Passau, Hbf"
"Passau, Am Schanzl(Busbucht)",6124,"Passau, Am Schanzl(Busbucht)"
"Passau, Eggendobl",6124,"Passau, Eggendobl"
"Passau, Sturmbergweg",6124,"Passau, Sturmbergweg"
"Passau, Abzw Freudenhain",6124,"Passau, Abzw Freudenhain"
"Ries, Rennweg",6124,"Ries, Rennweg"
"Ries, Wasserturm",6124,"Ries, Wasserturm"
Pramöd,6124,Pramöd
Jägerreuth,6124,Jägerreuth
Moos bei Passau,6124,Moos bei Passau
Patriching,6124,Patriching
Bäckerreuth,6124,Bäckerreuth
Jacking,6124,Jacking
"Schwaiberg, Waldstr.",6124,"Schwaiberg, Waldstr."
"Tiefenbach, Kieswerk",6124,"Tiefenbach, Kieswerk"
"Tiefenbach, R.-Töpfl-Str.",6124,"Tiefenbach, R.-Töpfl-Str."
"Tiefenbach, Marienplatz",6124,"Tiefenbach, Marienplatz"
"Tiefenbach, Bayerwaldstr.",6124,"Tiefenbach, Bayerwaldstr."
Gotting bei Tiefenbach,6124,Gotting bei Tiefenbach
Gramming,6124,Gramming
"Haselbach, Freibad",6124,"Haselbach, Freibad"
"Haselbach, Lohwaldsiedlung",6124,"Haselbach, Lohwaldsiedlung"
"Haselbach, Dorfplatz",6124,"Haselbach, Dorfplatz"
"Ruderting, Haselbacher Str.",6124,"Ruderting, Haselbacher Str."
"Ruderting, Buchbauer",6124,"Ruderting, Buchbauer"
"Ruderting, Lohwald-Siedlung",6124,"Ruderting, Lohwald-Siedlung"
"Schwaiberg, Gh Bauer",6124,"Schwaiberg, Gh Bauer"
Hof bei Tiefenbach,6124,Hof bei Tiefenbach
Lohhof bei Ruderting,6124,Lohhof bei Ruderting
"Ruderting, Lohwald-Siedlung",6124,"Ruderting, Lohwald-Siedlung"
"Ruderting, Buchbauer",6124,"Ruderting, Buchbauer"
"Ruderting, Kirche",6124,"Ruderting, Kirche"
During,6124,During
Sittenberg,6124,Sittenberg
"Trasham, Unterführung B 85",6124,"Trasham, Unterführung B 85"
Trasham,6124,Trasham
Möging,6124,Möging
Witzling bei Neukirchen v. W.,6124,Witzling bei Neukirchen v. W.
"Neukirchen v.W., Rathaus",6124,"Neukirchen v.W., Rathaus"
Pilling,6124,Pilling
Kapfham bei Fürstenstein,6124,Kapfham bei Fürstenstein
Weiding bei Neukirchen v.W.,6124,Weiding bei Neukirchen v.W.
"Wildenberg b.Tittl., B85,Abzw",6124,"Wildenberg bei Tittl., B85,Abzw"
"Tittling, Realschule",6124,"Tittling, Realschule"
Wildenberg bei Tittling,6124,Wildenberg bei Tittling
Preming,6124,Preming
"Tittling, Passauer Str. 53",6124,"Tittling, Passauer Str. 53"
"Tittling, Marktplatz",6124,"Tittling, Marktplatz"
"Tittling, Altersheim",6124,"Tittling, Altersheim"
"Tittling, Hötzendorf",6124,"Tittling, Hötzendorf"
Eisensteg,6124,Eisensteg
Taubenweid,6124,Taubenweid
"Englburg, Abzw",6124,"Englburg, Abzw"
"Fürstenstein, Abzw Schloß",6124,"Fürstenstein, Abzw Schloß"
"Fürstenstein, Gh. Kerber",6124,"Fürstenstein, Gh. Kerber"
"Fürstenstein, Raiffeisenbank",6124,"Fürstenstein, Raiffeisenbank"
"Fürstenstein, Abzw Bf",6124,"Fürstenstein, Abzw Bf"
Hinterberg bei Fürstenstein,6124,Hinterberg bei Fürstenstein
"Oberpolling, Gh Weber",6124,"Oberpolling, Gh Weber"
Hinterberg bei Fürstenstein,6124,Hinterberg bei Fürstenstein
"Fürstenstein, Abzw Bf",6124,"Fürstenstein, Abzw Bf"
"Fürstenstein, Raiffeisenbank",6124,"Fürstenstein, Raiffeisenbank"
"Fürstenstein, Gh. Kerber",6124,"Fürstenstein, Gh. Kerber"
"Fürstenstein, Abzw Schloß",6124,"Fürstenstein, Abzw Schloß"
"Englburg, Abzw",6124,"Englburg, Abzw"
Taubenweid,6124,Taubenweid
Eisensteg,6124,Eisensteg
"Tittling, Hötzendorf",6124,"Tittling, Hötzendorf"
"Tittling, Altersheim",6124,"Tittling, Altersheim"
"Oberpolling, Gh Weber",6124,"Oberpolling, Gh Weber"
Kapfham bei Fürstenstein,6124,Kapfham bei Fürstenstein
Stockreuth,6124,Stockreuth
Pilling,6124,Pilling
Wiening,6124,Wiening
"Minsing, Siedlung",6124,"Minsing, Siedlung"
"Ganharting, Abzw",6124,"Ganharting, Abzw"
"Fürstenstein, XXXLutz",6124,"Fürstenstein, XXXLutz"
Peigerting,6124,Peigerting
Reutherfurth,6124,Reutherfurth
Reutherfurth-Oed,6124,Reutherfurth-Oed
Harmering,6124,Harmering
"Eging, Abzw Kurhaus",6124,"Eging, Abzw Kurhaus"
"Eging, Postamt",6124,"Eging, Postamt"
"Eging, Marktplatz",6124,"Eging, Marktplatz"
Hörmannsdorf bei Tittling,6124,Hörmannsdorf bei Tittling
"Passau, Hbf",6125,"Passau, Hbf"
"Passau, ZOB",6125,"Passau, ZOB"
"Passau, Leopoldstr. II",6125,"Passau, Leopoldstr. II"
"Passau, Lambergstraße",6125,"Passau, Lambergstraße"
"Passau, Sailerwöhr",6125,"Passau, Sailerwöhr"
"Passau, Dr. Geiger Weg",6125,"Passau, Dr. Geiger Weg"
"Passau, Danziger Str.",6125,"Passau, Danziger Str."
"Passau, Holzmannstraße",6125,"Passau, Holzmannstraße"
"Neustift bei Passau, Kirche",6125,"Neustift bei Passau, Kirche"
"Neustift b. Passau, Altenheim",6125,"Neustift bei Passau, Altenheim"
"Haarschedl, Anw. Schatzl",6125,"Haarschedl, Anw. Schatzl"
"Haarschedl, Feuerwehrhaus",6125,"Haarschedl, Feuerwehrhaus"
"Haarschedl, Fürstenz.Str.21",6125,"Haarschedl, Fürstenz.Str.21"
"Haarschedl, Fürstenz.Str.31",6125,"Haarschedl, Fürstenz.Str.31"
"Altenmarkt, Abzw Platte",6125,"Altenmarkt, Abzw Platte"
"Rehschaln, Ortsmitte",6125,"Rehschaln, Ortsmitte"
"Rehschaln, Gh Zieringer",6125,"Rehschaln, Gh Zieringer"
Ginglsöd,6125,Ginglsöd
"Passau, Leopoldstraße",6125,"Passau, Leopoldstraße"
"Passau, Giselastraße",6125,"Passau, Giselastraße"
"Passau, St. Anton",6125,"Passau, St. Anton"
"Passau, Schulzentrum/AOK",6125,"Passau, Schulzentrum/AOK"
"Passau, Kainzenweg",6125,"Passau, Kainzenweg"
"Passau, Schönleitnerweg",6125,"Passau, Schönleitnerweg"
"Passau, Breslauer Straße",6125,"Passau, Breslauer Straße"
"Passau, Traminer Straße",6125,"Passau, Traminer Straße"
"Passau, Kohlbruck",6125,"Passau, Kohlbruck"
"Pfenningbach, Hauptstraße",6125,"Pfenningbach, Hauptstraße"
"Neukirchen a. Inn, Jochamstr.",6125,"Neukirchen a. Inn, Jochamstr."
"Neukirchen a. Inn, Raiba",6125,"Neukirchen a. Inn, Raiba"
"Neukirchen a. Inn, Bf",6125,"Neukirchen a. Inn, Bf"
"Kurzeichet, Hasengasse",6125,"Kurzeichet, Hasengasse"
"Kurzeichet, Abzw",6125,"Kurzeichet, Abzw"
"Pfenningbach, Abzw",6125,"Pfenningbach, Abzw"
"Kleingern, Kreuzung",6125,"Kleingern, Kreuzung"
Breitengern,6125,Breitengern
Irsham,6125,Irsham
"Fürstenzell, MVZ",6125,"Fürstenzell, MVZ"
"Fürstenzell, Heimvolksschule",6125,"Fürstenzell, Heimvolksschule"
"Fürstenzell, Gym. Innenhof",6125,"Fürstenzell, Gymnasium Innenhof"
"Fürstenzell, Marktplatz",6125,"Fürstenzell, Marktplatz"
"Fürstenzell, Gym. Wendeplatte",6125,"Fürstenzell, Gymnasium Wendeplatte"
"Fürstenzell, Pfandlweg",6125,"Fürstenzell, Pfandlweg"
Bad Pilzweg,6125,Bad Pilzweg
"Loipertsham, Abzw",6125,"Loipertsham, Abzw"
"Gründobl, Abzw",6125,"Gründobl, Abzw"
"Winkl bei Schmidham, Abzw",6125,"Winkl bei Schmidham, Abzw"
"Mitterdorf b.Bad Höhenst., Abzw",6125,"Mitterdorf bei Bad Höhenst., Abzw"
"Erbersdobl, Abzw",6125,"Erbersdobl, Abzw"
"Schmidham, Ortenburger-Str.5",6125,"Schmidham, Ortenburger-Str.5"
"Reutern, Gh Lorenz",6125,"Reutern, Gh Lorenz"
"Reutern, Abzw Adlmörting",6125,"Reutern, Abzw Adlmörting"
"Obergrün, Abzw",6125,"Obergrün, Abzw"
"Bad Griesbach, Feuerwehrhaus",6125,"Bad Griesbach, Feuerwehrhaus"
"Bad Griesbach, Residenz",6125,"Bad Griesbach, Residenz"
"Bad Griesbach, Passauer Str.",6125,"Bad Griesbach, Passauer Str."
"Fürstenzell, Zellauerweg",6125,"Fürstenzell, Zellauerweg"
Hissenau,6125,Hissenau
Göbertsham,6125,Göbertsham
"Göbertsham, Abzw",6125,"Göbertsham, Abzw"
"Steinbach bei Ortenburg, Abzw",6125,"Steinbach bei Ortenburg, Abzw"
"Weghof, Abzw",6125,"Weghof, Abzw"
"Dorfbach, Sportplatz",6125,"Dorfbach, Sportplatz"
"Dorfbach, Gh Gruber",6125,"Dorfbach, Gh Gruber"
Steinkirchen bei Ortenburg,6125,Steinkirchen bei Ortenburg
"Ortenburg, Metzgerei Kriegl",6125,"Ortenburg, Metzgerei Kriegl"
"Ortenburg, Marktplatz",6125,"Ortenburg, Marktplatz"
Kamm,6125,Kamm
"Neuhaus, Wendeplatte",6125,"Neuhaus, Wendeplatte"
"St. Salvator, Ortsmitte",6125,"St. Salvator, Ortsmitte"
Reisbach,6125,Reisbach
Au bei Reisbach,6125,Au bei Reisbach
Hofstetten bei Rainding,6125,Hofstetten bei Rainding
Rainding,6125,Rainding
"Parschalling, Abzw",6125,"Parschalling, Abzw"
Sammarei,6125,Sammarei
Wies bei Sammarei,6125,Wies bei Sammarei
Sachsenham,6125,Sachsenham
Niederham bei Haarbach,6125,Niederham bei Haarbach
"Haarbach, Abzw Rainding",6125,"Haarbach, Abzw Rainding"
Haarbach bei Griesbach,6125,Haarbach bei Griesbach
Riedertsham,6125,Riedertsham
Hötzenham,6125,Hötzenham
Unteruttlau,6125,Unteruttlau
Oberuttlau,6125,Oberuttlau
Lederbach,6125,Lederbach
"Bad Griesbach, Stadtplatz",6125,"Bad Griesbach, Stadtplatz"
"Bad Griesbach, Post",6125,"Bad Griesbach, Post"
"Bad Griesbach, Lindenfeld",6125,"Bad Griesbach, Lindenfeld"
"Bad Griesbach, Realschule",6125,"Bad Griesbach, Realschule"
"Bad Griesbach-Therme, Holzhäusl",6125,"Bad Griesbach-Therme, Holzhäusl"
"Bad Griesbach-Therme, Am Kurwald",6125,"Bad Griesbach-Therme, Am Kurwald"
"Karpfham, Bf",6125,"Karpfham, Bf"
"Passau, Hbf",6129,"Passau, Hbf"
"Passau, Am Schanzl(Busbucht)",6129,"Passau, Am Schanzl(Busbucht)"
"Passau, Eggendobl",6129,"Passau, Eggendobl"
"Passau, Sturmbergweg",6129,"Passau, Sturmbergweg"
"Passau, Bockhofweg",6129,"Passau, Bockhofweg"
"Passau, Abzw Freudenhain",6129,"Passau, Abzw Freudenhain"
"Ries, Rennweg",6129,"Ries, Rennweg"
"Ries, Wasserturm",6129,"Ries, Wasserturm"
Pramöd,6129,Pramöd
Jägerreuth,6129,Jägerreuth
Moos bei Passau,6129,Moos bei Passau
Patriching,6129,Patriching
Bäckerreuth,6129,Bäckerreuth
Jacking,6129,Jacking
"Schwaiberg, Waldstr.",6129,"Schwaiberg, Waldstr."
"Tiefenbach, Kieswerk",6129,"Tiefenbach, Kieswerk"
"Tiefenbach, R.-Töpfl-Str.",6129,"Tiefenbach, R.-Töpfl-Str."
"Tiefenbach, Bayerwaldstr.",6129,"Tiefenbach, Bayerwaldstr."
Gotting bei Tiefenbach,6129,Gotting bei Tiefenbach
Gramming,6129,Gramming
"Haselbach, Freibad",6129,"Haselbach, Freibad"
"Haselbach, Lohwaldsiedlung",6129,"Haselbach, Lohwaldsiedlung"
"Haselbach, Dorfplatz",6129,"Haselbach, Dorfplatz"
"Haselbach, Rastfeld",6129,"Haselbach, Rastfeld"
"Haselbach, Stenglein",6129,"Haselbach, Stenglein"
Wilmerting,6129,Wilmerting
Hirzing,6129,Hirzing
Prexlmühle bei Kirchberg,6129,Prexlmühle bei Kirchberg
Ötzing,6129,Ötzing
Petermühl bei Kirchberg,6129,Petermühl bei Kirchberg
Thalham bei Kirchberg,6129,Thalham bei Kirchberg
"Kirchberg, Wiederleiten",6129,"Kirchberg, Wiederleiten"
"Kirchberg, Raiffeisenbank",6129,"Kirchberg, Raiffeisenbank"
Boderding,6129,Boderding
Rötzing,6129,Rötzing
Niederham bei Aicha v. W.,6129,Niederham bei Aicha v. W.
"Aicha v.W., Vilshofener Str.",6129,"Aicha v.W., Vilshofener Str."
"Aicha v.W., Schloßbreite",6129,"Aicha v.W., Schloßbreite"
Haselham,6129,Haselham
Geferting,6129,Geferting
Ranzing bei Tiefenbach,6129,Ranzing bei Tiefenbach
Klessing bei Ranzing,6129,Klessing bei Ranzing
Ritzing bei Tiefenbach,6129,Ritzing bei Tiefenbach
"Ritzing, Stadlerhaus",6129,"Ritzing, Stadlerhaus"
Preßfurtmühle,6129,Preßfurtmühle
Weferting,6129,Weferting
Arbing bei Aicha v. W.,6129,Arbing bei Aicha v. W.
"Aicha v.W., Abzw Haselbach",6129,"Aicha v.W., Abzw Haselbach"
"Aicha v.W., Schloßbreite",6129,"Aicha v.W., Schloßbreite"
"Aicha v.W., Marktplatz",6129,"Aicha v.W., Marktplatz"
"Aicha v.W., Abzw Haselbach",6129,"Aicha v.W., Abzw Haselbach"
Arbing bei Aicha v. W.,6129,Arbing bei Aicha v. W.
Weferting,6129,Weferting
"Aicha v.W., Vilshofener Str.",6129,"Aicha v.W., Vilshofener Str."
